LSOA code and name,Residential useful heat demand (GWh yr-1),Heat-demand density (GWh km-2 yr-1),Candidate BHE count,Representative GSHP useful heat potential (GWh yr-1),Locally matched GSHP useful heat (GWh yr-1),Local heat-demand coverage (%),Unmet residential heat demand (GWh yr-1),Surplus GSHP potential (GWh yr-1)
E01015076 Plymouth 009A,3.91,14.67,48,1.31,1.31,33.5,2.6,0.0
E01015033 Plymouth 016A,5.73,14.34,70,1.91,1.91,33.4,3.82,0.0
E01015026 Plymouth 003B,3.53,14.67,43,1.18,1.18,33.3,2.36,0.0
E01015149 Plymouth 009F,3.33,16.31,40,1.09,1.09,32.9,2.23,0.0
E01015150 Plymouth 009G,4.35,14.8,52,1.42,1.42,32.7,2.93,0.0
E01015122 Plymouth 019E,4.68,14.82,52,1.5,1.5,32.2,3.17,0.0
E01015072 Plymouth 013A,3.82,15.44,44,1.21,1.21,31.6,2.61,0.0
E01015172 Plymouth 033B,6.02,14.59,69,1.9,1.9,31.5,4.12,0.0
E01015170 Plymouth 024B,5.07,15.23,57,1.57,1.57,30.9,3.5,0.0
E01015065 Plymouth 008C,4.01,15.72,46,1.24,1.24,30.8,2.78,0.0
E01015057 Plymouth 021C,3.85,17.56,40,1.18,1.18,30.7,2.67,0.0
E01015035 Plymouth 012A,4.71,16.02,53,1.44,1.44,30.5,3.28,0.0
E01015146 Plymouth 009E,4.13,14.86,46,1.25,1.25,30.2,2.88,0.0
E01015101 Plymouth 016E,7.11,17.16,74,2.06,2.06,29.0,5.05,0.0
E01015080 Plymouth 013D,2.75,17.6,29,0.8,0.8,28.9,1.96,0.0
E01015173 Plymouth 024C,6.7,18.37,68,1.87,1.87,27.9,4.83,0.0
E01015036 Plymouth 016C,6.46,16.19,69,1.77,1.77,27.4,4.69,0.0
E01015169 Plymouth 024A,5.62,18.79,55,1.51,1.51,26.9,4.1,0.0
E01015038 Plymouth 016D,5.92,15.76,63,1.59,1.59,26.8,4.33,0.0
E01015059 Plymouth 021D,3.7,17.71,36,0.99,0.99,26.8,2.71,0.0
E01015147 Plymouth 006D,4.13,17.18,40,1.08,1.08,26.2,3.05,0.0
E01015088 Plymouth 006C,3.64,19.89,34,0.93,0.93,25.6,2.71,0.0
E01015111 Plymouth 018C,4.53,19.46,40,1.16,1.16,25.5,3.38,0.0
E01015144 Plymouth 009D,4.09,19.69,38,1.04,1.04,25.4,3.05,0.0
E01015037 Plymouth 012B,3.76,17.82,37,0.94,0.94,24.9,2.83,0.0
E01015034 Plymouth 016B,7.4,20.73,67,1.81,1.81,24.4,5.59,0.0
E01032657 Plymouth 027F,3.62,20.48,32,0.88,0.88,24.2,2.74,0.0
E01015079 Plymouth 011C,5.32,19.83,46,1.26,1.26,23.7,4.05,0.0
E01015102 Plymouth 011D,5.44,20.44,46,1.26,1.26,23.2,4.18,0.0
E01015155 Plymouth 034A,4.59,19.56,38,1.06,1.06,23.0,3.53,0.0
E01032658 Plymouth 027G,4.53,22.17,36,0.98,0.98,21.7,3.55,0.0
E01015043 Plymouth 026A,3.82,23.85,29,0.79,0.79,20.8,3.03,0.0
E01015104 Plymouth 011E,5.03,23.89,37,1.02,1.02,20.2,4.01,0.0
E01034161 Plymouth 034D,5.1,21.77,34,1.02,1.02,20.1,4.07,0.0
E01015153 Plymouth 033C,6.02,26.41,42,1.15,1.15,19.1,4.87,0.0
E01015181 Plymouth 028D,6.77,20.83,45,1.28,1.28,19.0,5.48,0.0
E01015174 Plymouth 024D,5.32,24.0,36,0.99,0.99,18.6,4.33,0.0
E01015061 Plymouth 025A,5.01,30.09,31,0.9,0.9,17.9,4.12,0.0
E01015168 Plymouth 020D,5.55,26.57,37,0.99,0.99,17.9,4.56,0.0
E01015031 Plymouth 023A,5.74,27.13,37,1.02,1.02,17.8,4.72,0.0
E01015171 Plymouth 020E,5.87,28.55,38,1.04,1.04,17.8,4.83,0.0
E01015051 Plymouth 023E,5.44,27.2,35,0.96,0.96,17.7,4.47,0.0
E01015152 Plymouth 027C,9.17,28.95,58,1.59,1.59,17.3,7.58,0.0
E01015167 Plymouth 020C,4.4,28.31,29,0.76,0.76,17.3,3.64,0.0
E01015177 Plymouth 025D,5.28,30.03,31,0.9,0.9,17.0,4.38,0.0
E01015100 Plymouth 017C,5.53,30.98,32,0.88,0.88,15.9,4.65,0.0
E01015054 Plymouth 027B,5.31,27.11,30,0.83,0.83,15.6,4.48,0.0
E01015048 Plymouth 026E,5.56,31.94,31,0.85,0.85,15.3,4.71,0.0
E01015032 Plymouth 023B,7.5,33.51,41,1.13,1.13,15.0,6.38,0.0
E01015151 Plymouth 033A,6.05,31.82,33,0.91,0.91,15.0,5.14,0.0
E01015105 Plymouth 017E,5.23,34.21,28,0.77,0.77,14.7,4.46,0.0
E01015098 Plymouth 017A,5.54,32.89,29,0.79,0.79,14.3,4.75,0.0
E01015178 Plymouth 025E,6.63,37.06,33,0.95,0.95,14.3,5.68,0.0
E01015044 Plymouth 020B,5.61,37.7,29,0.8,0.8,14.2,4.81,0.0
E01015103 Plymouth 017D,5.16,34.05,26,0.72,0.72,13.9,4.45,0.0
E01015175 Plymouth 025C,5.47,37.93,25,0.72,0.72,13.2,4.75,0.0
E01015062 Plymouth 025B,6.69,41.92,29,0.81,0.81,12.1,5.88,0.0
E01015179 Plymouth 028B,6.0,43.4,25,0.71,0.71,11.8,5.29,0.0
E01015052 Plymouth 028A,6.25,52.41,25,0.69,0.69,11.0,5.57,0.0
E01015049 Plymouth 023C,5.81,47.67,23,0.63,0.63,10.9,5.18,0.0
E01015053 Plymouth 027A,4.07,48.33,15,0.41,0.41,10.1,3.66,0.0
E01015042 Plymouth 020A,3.95,38.05,15,0.39,0.39,10.0,3.55,0.0
E01015050 Plymouth 023D,7.01,47.58,24,0.66,0.66,9.4,6.35,0.0
